Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.121647250,1,1,1,1,1,1,1,1
0.121656000,0,1,1,1,1,1,1,1
0.121664750,1,1,1,1,1,1,1,1
0.121681500,0,1,1,1,1,1,1,1
0.121690250,1,1,1,1,1,1,1,1
0.121698500,0,1,1,1,1,1,1,1
0.121707250,1,1,1,1,1,1,1,1
0.121716000,0,1,1,1,1,1,1,1
0.121732750,1,1,1,1,1,1,1,1
0.121757500,0,1,1,1,1,1,1,1
0.121774250,1,1,1,1,1,1,1,1
0.121783000,0,1,1,1,1,1,1,1
0.121815750,1,1,1,1,1,1,1,1
0.121824500,0,1,1,1,1,1,1,1
0.121857250,1,1,1,1,1,1,1,1
0.121866000,0,1,1,1,1,1,1,1
0.121898750,1,1,1,1,1,1,1,1
0.121907500,0,1,1,1,1,1,1,1
0.121940250,1,1,1,1,1,1,1,1
0.121949000,0,1,1,1,1,1,1,1
0.121981750,1,1,1,1,1,1,1,1
0.121990500,0,1,1,1,1,1,1,1
0.122023250,1,1,1,1,1,1,1,1
0.122032000,0,1,1,1,1,1,1,1
0.122064750,1,1,1,1,1,1,1,1
0.122073500,0,1,1,1,1,1,1,1
0.122106250,1,1,1,1,1,1,1,1
0.122115000,0,1,1,1,1,1,1,1
0.122147750,1,1,1,1,1,1,1,1
0.122156500,0,1,1,1,1,1,1,1
0.122189250,1,1,1,1,1,1,1,1
0.122206000,0,1,1,1,1,1,1,1
0.122230750,1,1,1,1,1,1,1,1
0.122255500,0,1,1,1,1,1,1,1
0.122272250,1,1,1,1,1,1,1,1
0.122297000,0,1,1,1,1,1,1,1
0.122305750,1,1,1,1,1,1,1,1
0.122314000,0,1,1,1,1,1,1,1
0.122322750,1,1,1,1,1,1,1,1
0.122331000,0,1,1,1,1,1,1,1
0.122339750,1,1,1,1,1,1,1,1
0.122348000,0,1,1,1,1,1,1,1
0.122364750,1,1,1,1,1,1,1,1
0.122373000,0,1,1,1,1,1,1,1
