Time [s],Channel 0
259.603030000,0
259.603039000,1
259.603047500,0
259.603072500,1
259.603081000,0
259.603090000,1
259.603098500,0
259.603107500,1
259.603116000,0
259.603133000,1
259.603157500,0
259.603198500,1
259.603207000,0
259.603224000,1
259.603232500,0
259.603241500,1
259.603274000,0
259.603283000,1
259.603299500,0
259.603308500,1
259.603325000,0
259.603342000,1
259.603366500,0
259.603383500,1
259.603392000,0
259.603401000,1
259.603409500,0
259.603418500,1
259.603427000,0
259.603436000,1
259.603452500,0
259.603469500,1
259.603486000,0
259.603503000,1
259.652922000,0
259.652954250,1
259.652986000,0
259.652994750,1
259.653011500,0
259.653036250,1
259.653045000,0
259.653061750,1
259.653070500,0
259.653079250,1
259.653088000,0
259.653096750,1
259.653105500,0
259.653122250,1
259.653139000,0
259.653163750,1
259.653172500,0
259.653181250,1
259.653190000,0
259.653198750,1
259.653207500,0
259.653232500,1
259.653249000,0
259.653258000,1
259.653266500,0
259.653275500,1
259.653292000,0
259.653309000,1
259.653317500,0
259.653334500,1
259.653343000,0
259.653376000,1
259.653400500,0
259.653409500,1
259.653418000,0
259.653427000,1
259.653451500,0
259.653460500,1
259.653485000,0
259.653494000,1
259.653502500,0
259.653519500,1
259.653528000,0
259.653537000,1
259.653545500,0
259.653562500,1
259.653587000,0
259.653628000,1
259.653644500,0
259.653653500,1
259.653662000,0
259.653671000,1
259.653703500,0
259.653712500,1
259.653729000,0
259.653738000,1
259.653754500,0
259.653763500,1
259.653796000,0
259.653805000,1
259.653813500,0
259.653830500,1
259.653839000,0
259.653848000,1
259.653856500,0
259.653881500,1
259.653914000,0
259.653931000,1
259.672572500,0
259.672604750,1
259.672636500,0
259.672645250,1
259.672654000,0
259.672662750,1
259.672671500,0
259.672688250,1
259.672713000,0
259.672721750,1
259.672730500,0
259.672739250,1
259.672756000,0
259.672772750,1
259.672797500,0
259.672814250,1
259.672839000,0
259.672855750,1
259.672864500,0
259.672889250,1
259.672898000,0
259.672938750,1
259.672947500,0
259.672980250,1
259.672989000,0
259.673005750,1
259.673022500,0
259.673031250,1
259.673040000,0
259.673048750,1
259.673065500,0
259.673106250,1
259.673115000,0
259.673139750,1
259.673148500,0
259.673157250,1
259.673190000,0
259.673198750,1
259.673231500,0
259.673240250,1
259.673273000,0
259.673281750,1
259.673314500,0
259.673323250,1
259.673356000,0
259.673364750,1
259.673397500,0
259.673414250,1
259.673439000,0
259.673455750,1
259.673472500,0
259.673481500,1
259.673490000,0
259.673507000,1
259.673515500,0
259.673524500,1
259.673533000,0
259.673550000,1
259.673558500,0
259.673575500,1
259.673584000,0
259.673592500,1
259.678276750,0
259.678308500,1
259.678340250,0
259.678348750,1
259.678357000,0
259.678365500,1
259.678381750,0
259.678390250,1
259.678398500,0
259.678407000,1
259.678423250,0
259.678431750,1
259.678440250,0
259.678448750,1
259.678457000,0
259.678473500,1
259.678497750,0
259.678514000,1
259.678522500,0
259.678554750,1
259.678563000,0
259.678595250,1
259.678603750,0
259.678636000,1
259.678644250,0
259.678676500,1
259.678684750,0
259.678717250,1
259.678741250,0
259.678757750,1
259.678766000,0
259.678798500,1
259.678806750,0
259.678815250,1
259.678823500,0
259.678840000,1
259.678880000,0
259.678888500,1
259.678920750,0
259.678929250,1
259.678961250,0
259.678969750,1
259.679001750,0
259.679042000,1
259.679050500,0
259.679082750,1
259.679122750,0
259.679131250,1
259.679163250,0
259.679171750,1
259.679204000,0
259.679212500,1
259.679244500,0
259.679253000,1
259.679285250,0
259.679293750,1
259.679325750,0
259.679366000,1
259.679374250,0
259.679406500,1
259.679415000,0
259.679423500,1
259.679447500,0
259.679480000,1
259.679488250,0
259.679520500,1
259.679528750,0
259.679545250,1
259.679553500,0
259.679578000,1
259.679586750,0
259.679595750,1
259.694323500,0
259.694355750,1
259.694387500,0
259.694396250,1
259.694404500,0
259.694413250,1
259.694421500,0
259.694438250,1
259.694446500,0
259.694455250,1
259.694471500,0
259.694480250,1
259.694488500,0
259.694497250,1
259.694505500,0
259.694522250,1
259.694546500,0
259.694563250,1
259.694571500,0
259.694596250,1
259.694604500,0
259.694645250,1
259.694653500,0
259.694686250,1
259.694694500,0
259.694727250,1
259.694735500,0
259.694768250,1
