t_s,wall_time,spd_count,data0,data1,rpm_count,seq
12.898,23:22:04.344,0,27,220,7132,160
12.898,23:22:04.344,0,27,192,7104,160
13.502,23:22:04.945,0,27,236,7148,160
13.502,23:22:04.945,0,27,200,7112,160
13.502,23:22:04.945,0,27,220,7132,160
13.502,23:22:04.948,0,28,14,7182,160
13.502,23:22:04.948,0,27,208,7120,161
13.502,23:22:04.948,0,28,6,7174,161
13.502,23:22:04.949,0,28,40,7208,161
13.502,23:22:04.949,0,28,110,7278,162
13.502,23:22:04.949,0,28,114,7282,162
13.502,23:22:04.950,0,28,120,7288,162
14.088,23:22:05.531,0,27,208,7120,162
14.088,23:22:05.531,0,27,234,7146,162
14.088,23:22:05.531,0,27,174,7086,163
14.088,23:22:05.533,0,27,244,7156,163
14.088,23:22:05.533,0,27,254,7166,163
14.088,23:22:05.534,0,28,46,7214,164
14.088,23:22:05.534,0,27,244,7156,164
14.088,23:22:05.534,0,27,248,7160,164
14.088,23:22:05.535,0,27,254,7166,165
14.088,23:22:05.535,0,28,34,7202,165
14.799,23:22:06.241,0,28,62,7230,165
14.799,23:22:06.242,0,28,54,7222,165
14.799,23:22:06.242,0,28,100,7268,165
14.799,23:22:06.242,0,28,30,7198,166
14.799,23:22:06.243,0,28,28,7196,166
14.799,23:22:06.243,0,28,60,7228,166
14.799,23:22:06.243,0,28,98,7266,166
14.799,23:22:06.244,0,28,74,7242,167
14.799,23:22:06.244,0,28,88,7256,167
14.799,23:22:06.244,0,28,38,7206,167
14.799,23:22:06.245,0,28,48,7216,168
14.799,23:22:06.245,0,28,80,7248,168
14.799,23:22:06.245,0,28,82,7250,168
15.540,23:22:06.983,0,28,26,7194,168
15.540,23:22:06.984,0,28,30,7198,168
15.540,23:22:06.984,0,27,252,7164,168
15.540,23:22:06.985,0,27,216,7128,169
15.540,23:22:06.985,0,28,30,7198,169
15.540,23:22:06.985,0,28,32,7200,169
15.540,23:22:06.986,0,28,8,7176,169
15.540,23:22:06.986,0,28,22,7190,170
15.540,23:22:06.986,0,28,40,7208,170
15.540,23:22:06.987,0,28,86,7254,170
15.540,23:22:06.987,0,28,60,7228,170
15.540,23:22:06.994,0,28,14,7182,171
15.540,23:22:06.994,0,28,22,7190,171
15.540,23:22:06.994,0,28,46,7214,171
15.540,23:22:06.995,0,28,68,7236,171
16.235,23:22:07.678,0,28,54,7222,171
16.235,23:22:07.679,0,28,36,7204,171
16.235,23:22:07.679,0,28,60,7228,172
16.235,23:22:07.679,0,28,82,7250,172
16.235,23:22:07.680,0,28,90,7258,172
16.235,23:22:07.680,0,28,116,7284,172
16.235,23:22:07.681,0,27,238,7150,173
16.235,23:22:07.681,0,27,224,7136,173
16.235,23:22:07.681,0,27,210,7122,173
16.235,23:22:07.681,0,27,226,7138,174
16.235,23:22:07.682,0,27,236,7148,174
16.235,23:22:07.682,0,28,24,7192,174
16.992,23:22:08.436,0,28,56,7224,174
16.992,23:22:08.436,0,27,240,7152,175
16.992,23:22:08.436,0,27,194,7106,175
16.992,23:22:08.437,0,27,216,7128,175
16.992,23:22:08.437,0,28,34,7202,175
16.992,23:22:08.438,0,28,4,7172,175
16.992,23:22:08.438,0,27,182,7094,176
16.992,23:22:08.438,0,27,236,7148,176
16.992,23:22:08.439,0,28,8,7176,176
16.992,23:22:08.439,0,28,30,7198,176
16.992,23:22:08.439,0,28,42,7210,177
16.992,23:22:08.439,0,28,56,7224,177
16.992,23:22:08.440,0,28,38,7206,177
16.992,23:22:08.440,0,28,22,7190,177
17.561,23:22:09.004,0,28,18,7186,178
17.561,23:22:09.005,0,28,60,7228,178
17.561,23:22:09.005,0,28,64,7232,178
17.561,23:22:09.006,0,28,82,7250,178
17.561,23:22:09.006,0,28,32,7200,178
17.561,23:22:09.006,0,27,228,7140,178
17.561,23:22:09.006,0,27,250,7162,179
17.561,23:22:09.007,0,28,12,7180,179
17.561,23:22:09.007,0,28,12,7180,179
17.561,23:22:09.007,0,28,70,7238,180
17.561,23:22:09.009,0,28,104,7272,180
18.162,23:22:09.605,0,28,116,7284,180
18.162,23:22:09.605,0,28,42,7210,180
18.162,23:22:09.605,0,27,244,7156,181
18.162,23:22:09.606,0,27,252,7164,181
18.162,23:22:09.606,0,27,228,7140,181
18.162,23:22:09.606,0,28,2,7170,181
18.162,23:22:09.606,0,28,56,7224,181
18.162,23:22:09.607,0,28,74,7242,181
18.162,23:22:09.607,0,28,80,7248,182
18.162,23:22:09.607,0,28,50,7218,182
18.162,23:22:09.607,0,28,84,7252,182
18.162,23:22:09.608,0,27,240,7152,182
18.749,23:22:10.192,0,27,216,7128,183
18.749,23:22:10.193,0,27,220,7132,183
18.749,23:22:10.193,0,27,238,7150,183
18.749,23:22:10.194,0,28,28,7196,183
18.749,23:22:10.194,0,28,42,7210,184
18.749,23:22:10.194,0,28,54,7222,184
18.749,23:22:10.195,0,28,86,7254,184
18.749,23:22:10.195,0,28,76,7244,184
18.749,23:22:10.195,0,27,212,7124,185
18.749,23:22:10.196,0,27,198,7110,185
18.749,23:22:10.196,0,28,14,7182,185
19.369,23:22:10.811,0,28,62,7230,185
19.369,23:22:10.813,0,28,74,7242,186
19.369,23:22:10.813,0,28,22,7190,186
19.369,23:22:10.813,0,28,12,7180,186
19.369,23:22:10.814,0,28,44,7212,186
19.369,23:22:10.814,0,28,60,7228,187
19.369,23:22:10.814,0,28,42,7210,187
19.369,23:22:10.815,0,28,44,7212,187
19.369,23:22:10.815,0,28,118,7286,188
19.369,23:22:10.815,0,28,132,7300,188
20.002,23:22:11.446,0,28,72,7240,188
20.002,23:22:11.446,0,28,18,7186,188
20.002,23:22:11.446,0,27,206,7118,189
20.002,23:22:11.448,0,27,234,7146,189
20.002,23:22:11.449,0,27,254,7166,189
20.002,23:22:11.449,0,28,26,7194,189
20.002,23:22:11.450,0,28,40,7208,190
20.002,23:22:11.450,0,27,238,7150,190
20.576,23:22:12.020,0,28,18,7186,191
20.576,23:22:12.020,0,28,110,7278,191
20.576,23:22:12.020,0,27,242,7154,191
20.576,23:22:12.021,0,28,34,7202,192
20.576,23:22:12.021,0,28,38,7206,192
20.576,23:22:12.021,0,28,22,7190,192
20.576,23:22:12.022,0,28,52,7220,192
20.576,23:22:12.022,0,28,64,7232,192
20.576,23:22:12.022,0,28,2,7170,192
20.576,23:22:12.022,0,28,32,7200,193
20.576,23:22:12.023,0,28,14,7182,193
21.179,23:22:12.622,0,28,8,7176,193
21.179,23:22:12.622,0,28,32,7200,193
21.179,23:22:12.623,0,28,10,7178,194
21.179,23:22:12.623,0,28,30,7198,194
21.179,23:22:12.623,0,28,12,7180,194
21.179,23:22:12.624,0,28,8,7176,194
21.179,23:22:12.624,0,28,56,7224,195
21.179,23:22:12.624,0,28,56,7224,195
21.179,23:22:12.625,0,28,22,7190,195
21.179,23:22:12.625,0,28,78,7246,195
21.179,23:22:12.625,0,28,102,7270,195
21.179,23:22:12.626,0,28,94,7262,195
